NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HS6ST1	4	177.1509552001953	0.2955097	Yes	
row_1	CHPF	32	79.00282287597656	0.41590676	Yes	
row_2	PXYLP1	105	47.47403335571289	0.46306315	Yes	
row_3	TM9SF2	162	38.975093841552734	0.5031823	Yes	
row_4	B4GAT1	193	35.46885299682617	0.54916036	Yes	
row_5	NAGLU	239	31.19504737854004	0.58119047	Yes	
row_6	CHST12	260	29.790279388427734	0.6221547	Yes	
row_7	CHST15	409	21.293781280517578	0.5910452	Yes	
row_8	SLC35D1	455	19.37779426574707	0.6032422	Yes	
row_9	GNS	473	18.898174285888672	0.627281	Yes	
row_10	SLC2A10	588	15.37912368774414	0.6016016	No	
row_11	XYLT2	611	14.946672439575195	0.6167502	No	
row_12	HYAL1	911	9.2686128616333	0.49725622	No	
row_13	B3GNT7	983	8.163005828857422	0.4788877	No	
row_14	GPC1	1114	6.508355617523193	0.43109357	No	
row_15	B3GNT4	1197	5.494980335235596	0.4032789	No	
row_16	SULF2	1255	5.066616058349609	0.38603705	No	
row_17	ADAMTS12	1392	-4.123161315917969	0.33152974	No	
row_18	GALNT3	1683	-10.572609901428223	0.21828935	No	
row_19	EXTL2	1845	-17.683198928833008	0.17524838	No	
